hoys1,hoys2,hoys3,hoys4,hoys5,hoys6,hoys7,hoys8,Bvolume,BtotalArea,BNoFloors,Bheight,RotAngle,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
3225,3226,3227,3228,3229,3230,3231,3232,32387,11071,33,100,57,3,4,3,2,0,0,0,1,1,1,3,3,3,2,1,1,1,1,0,0,2,2,3,2,1,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,3,3,2,2,1,1,0,0,0,0,3,3,2,2,0,0,0,0,0,0
7545,7546,7547,7548,7549,7550,7551,7552,30195,10361,25,76,43,4,4,4,4,4,5,5,5,5,6,5,5,5,5,5,6,6,6,6,6,5,4,4,4,4,5,7,6,6,7,6,5,5,4,4,5,7,7,7,7,6,4,4,3,0,0,7,6,7,7,6,5,4,2,0,0,6,7,7,7,6,4,4,2,2,3,6,7,6,7,6,5,4,3,3,4,6,7,6,7,6,5,4,4,3,4,5,6,7,8,5,5,4,4,3,4,5,6,7,8
5097,5098,5099,5100,5101,5102,5103,5104,29062,10013,25,76,53,3,4,2,1,0,0,1,1,1,1,3,3,3,2,1,1,1,0,0,1,3,3,3,2,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,3,3,3,2,1,1,0,0,0,0,2,2,4,2,0,0,0,0,0,0
3321,3322,3323,3324,3325,3326,3327,3328,55240,19111,44,131,74,3,4,2,1,0,0,0,1,1,1,3,3,1,1,1,1,1,1,0,0,2,2,1,2,1,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,2,3,2,2,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0
6249,6250,6251,6252,6253,6254,6255,6256,11885,4104,19,58,8,6,5,5,5,5,5,5,1,0,0,4,4,4,5,4,5,5,3,1,0,5,4,4,5,5,6,6,3,0,0,4,4,3,4,3,4,6,4,0,0,6,5,4,0,0,0,7,3,0,0,6,4,3,1,0,0,7,1,0,0,4,3,1,1,2,6,7,3,0,0,5,3,2,3,4,6,6,2,0,0,4,3,3,4,5,5,6,5,0,0,4,2,3,4,5,5,6,4,1,1
1497,1498,1499,1500,1501,1502,1503,1504,56673,19470,44,131,17,4,5,4,4,5,5,5,5,4,1,5,5,4,5,5,5,6,6,5,0,5,5,4,4,4,4,6,6,5,1,4,4,3,3,3,4,4,7,5,2,5,5,3,0,0,0,0,7,5,1,4,5,2,0,0,0,6,7,6,1,4,4,1,1,0,0,7,7,6,1,4,3,2,2,2,5,6,7,6,0,4,3,2,3,4,5,6,7,6,1,4,3,2,3,4,5,6,6,5,1
3225,3226,3227,3228,3229,3230,3231,3232,32387,11071,33,100,57,3,4,3,2,0,0,0,1,1,1,3,3,3,2,1,1,1,1,0,0,2,2,3,2,1,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,3,3,2,2,1,1,0,0,0,0,3,3,2,2,0,0,0,0,0,0
4545,4546,4547,4548,4549,4550,4551,4552,24271,8402,39,117,89,3,1,1,0,0,0,1,1,1,1,3,2,2,1,1,1,1,0,0,1,2,1,2,1,0,0,0,1,0,0,3,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
4113,4114,4115,4116,4117,4118,4119,4120,37985,13198,32,95,10,2,1,1,0,0,0,1,1,1,1,3,2,2,1,1,1,1,0,0,1,2,2,2,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4737,4738,4739,4740,4741,4742,4743,4744,39378,13817,26,77,11,3,2,1,0,0,0,1,1,1,1,3,3,2,1,1,1,1,0,0,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
